"year","no_of_transaction","total_qty","total_revenue_usd"
"2015-11-22 17:24:28","27","17563","115376.17"
"2015-11-22 12:07:33","62","56410","382873.30"
"2015-11-22 10:29:10","24","10197","54891.56"
"2015-11-22 10:13:22","61","24119","132868.82"
"2015-11-22 08:26:35","58","24116","163887.39"
"2015-11-22 04:30:42","65","36887","251299.77"
"2015-11-22 02:19:19","61","24119","132868.82"
"2015-11-22 00:35:50","35","15177","83419.38"
"2015-11-21 21:25:21","23","9285","49930.29"
"2015-11-21 19:17:13","28","12723","67459.65"
"2015-11-21 09:01:17","27","14896","101553.15"
"2015-11-21 03:21:27","68","40535","278575.64"
"2015-11-21 01:25:22","51","23299","125968.04"
"2015-11-20 23:46:18","19","3953","25335.68"
"2015-11-20 23:02:29","20","8003","42881.21"
"2015-11-20 23:00:38","27","11746","64536.17"
"2015-11-20 20:19:24","27","6258","38648.01"
"2015-11-20 18:52:29","56","22852","126898.91"
"2015-11-20 17:46:52","25","12011","80328.56"
"2015-11-20 13:25:51","71","42358","291047.25"
"2015-11-20 13:22:36","65","39187","269155.34"
"2015-11-20 11:47:16","61","24119","132868.82"
"2015-11-20 11:12:46","29","25768","156582.24"
"2015-11-20 10:41:40","20","8003","42881.21"
"2015-11-20 08:05:24","65","24655","137600.67"
"2015-11-20 07:16:37","66","49246","345618.59"
"2015-11-20 06:57:16","41","26597","185463.76"
"2015-11-20 05:05:25","29","17538","119173.59"
"2015-11-19 16:36:55","53","24215","135517.95"
"2015-11-19 11:59:24","41","26597","185463.76"
"2015-11-19 08:52:02","42","24507","167717.40"
"2015-11-18 21:58:26","62","24538","137227.88"
"2015-11-18 20:27:50","63","21706","118879.76"
"2015-11-18 09:19:18","50","25343","140046.68"
"2015-11-18 01:55:57","51","34627","237781.30"
"2015-11-17 21:58:32","24","8110","43692.29"
"2015-11-17 16:33:36","24","10197","54891.56"
"2015-11-17 13:36:34","25","13148","88946.14"
"2015-11-17 10:13:38","58","34963","235051.07"
"2015-11-16 20:20:29","58","24155","135924.15"
"2015-11-16 17:41:56","25","13148","88946.14"
"2015-11-16 17:20:19","58","28452","160051.04"
"2015-11-16 04:16:08","71","42358","291047.25"
"2015-11-16 01:25:58","35","16574","94244.44"
"2015-11-15 21:52:20","29","17538","119173.59"
"2015-11-15 21:43:17","16","3033","18285.93"
"2015-11-15 20:13:24","55","24656","130153.59"
"2015-11-15 19:26:21","58","24948","138323.59"
"2015-11-15 18:46:51","50","25343","140046.68"
"2015-11-15 17:29:17","4","5127","38741.81"
"2015-11-15 15:53:32","13","4734","25526.30"
"2015-11-15 15:46:31","68","40412","275288.30"
"2015-11-15 15:06:19","58","27235","147599.56"
"2015-11-15 14:21:10","55","31887","217473.85"
"2015-11-15 13:53:16","4","5127","38741.81"
"2015-11-15 13:22:18","23","9789","54792.72"
"2015-11-15 12:56:40","60","23956","130893.51"
"2015-11-15 10:49:24","24","9805","54114.02"
"2015-11-15 04:45:02","23","9789","54792.72"
"2015-11-15 02:19:03","24","9805","54114.02"
"2015-11-15 00:26:39","37","20761","135730.44"
"2015-11-14 23:00:48","61","23973","130917.00"
"2015-11-14 19:57:51","58","27235","147599.56"
"2015-11-14 16:26:58","61","35750","241711.25"
"2015-11-14 15:31:42","57","33190","205886.97"
"2015-11-14 14:29:23","61","35750","241711.25"
"2015-11-14 12:47:40","32","14894","86362.70"
"2015-11-14 06:13:20","60","47506","326819.48"
"2015-11-14 06:00:12","49","29101","200174.66"
"2015-11-13 17:50:08","29","17538","119173.59"
"2015-11-13 16:52:29","30","18186","120523.91"
"2015-11-13 13:40:57","15","5691","32965.13"
"2015-11-13 08:55:37","62","34581","234225.65"
"2015-11-13 08:15:01","57","22177","119965.08"
"2015-11-13 06:02:35","30","21964","139015.09"
"2015-11-13 05:52:32","27","17563","115376.17"
"2015-11-13 02:38:44","65","36603","244695.99"
"2015-11-12 23:23:25","31","20795","134039.25"
"2015-11-12 19:03:45","23","4400","27558.30"
"2015-11-12 16:57:22","51","23299","125968.04"
"2015-11-12 11:20:36","50","40833","293861.14"
"2015-11-12 10:49:30","13","4734","25526.30"
"2015-11-12 04:27:45","25","14397","96593.53"
"2015-11-12 03:48:39","13","4734","25526.30"
"2015-11-12 02:33:15","57","33190","205886.97"
"2015-11-11 23:35:41","24","10197","54891.56"
"2015-11-11 22:49:03","24","10197","54891.56"
"2015-11-11 20:52:03","39","23186","157523.24"
"2015-11-11 16:44:15","40","24120","127671.94"
"2015-11-11 15:48:45","13","6126","32226.37"
"2015-11-11 07:10:19","10","3810","20767.15"
"2015-11-11 06:42:03","37","21024","117862.77"
"2015-11-11 05:07:17","10","3810","20767.15"
"2015-11-11 02:10:35","61","35358","238962.47"
"2015-11-10 23:52:16","27","11313","62148.87"
"2015-11-10 20:39:05","65","24655","137600.67"
"2015-11-10 20:20:57","27","6288","42065.82"
"2015-11-10 16:26:44","66","43730","300694.79"
"2015-11-10 16:12:12","60","39570","253635.75"
"2015-11-10 14:57:25","12","7943","50888.03"
"2015-11-10 08:35:26","60","23956","130893.51"
"2015-11-10 00:06:55","12","7943","50888.03"
"2015-11-09 23:23:27","43","16849","94684.25"
"2015-11-09 20:52:56","51","21887","116165.15"
"2015-11-09 17:55:27","12","4899","25507.06"
"2015-11-09 17:53:11","29","16806","112176.03"
"2015-11-09 17:43:30","30","21964","139015.09"
"2015-11-09 17:25:57","57","27248","153015.87"
"2015-11-09 15:23:40","61","23973","130917.00"
"2015-11-09 15:22:17","57","27248","153015.87"
"2015-11-09 13:46:48","29","11430","60936.18"
"2015-11-09 10:44:31","3","1493","9914.23"
"2015-11-09 09:28:08","65","39187","269155.34"
"2015-11-09 09:03:18","55","31887","217473.85"
"2015-11-09 05:22:16","56","44750","231856.98"
"2015-11-09 04:37:56","31","13364","72875.84"
"2015-11-08 17:48:56","58","24116","163887.39"
"2015-11-08 09:22:57","29","12331","67909.96"
"2015-11-08 09:20:50","62","24538","137227.88"
"2015-11-08 07:37:48","40","15469","84768.94"
"2015-11-08 05:00:21","30","21716","144865.83"
"2015-11-08 04:11:36","46","17788","96376.94"
"2015-11-07 19:54:33","46","17788","96376.94"
"2015-11-07 17:01:53","46","22752","161294.62"
"2015-11-07 10:33:56","50","40833","293861.14"
"2015-11-07 10:09:38","40","23129","157782.52"
"2015-11-07 09:16:06","58","24155","135924.15"
"2015-11-06 19:42:23","61","35750","241711.25"
"2015-11-06 17:50:18","57","22552","123503.18"
"2015-11-06 15:42:47","65","24655","137600.67"
"2015-11-06 15:27:22","31","13364","72875.84"
"2015-11-06 10:57:54","25","14397","96593.53"
"2015-11-06 07:00:38","43","16849","94684.25"
"2015-11-06 04:00:27","37","22902","154811.43"
"2015-11-06 03:13:41","25","12011","80328.56"
"2015-11-06 02:01:23","24","16024","105115.44"
"2015-11-06 01:39:40","43","28601","188457.46"
"2015-11-05 21:26:24","56","22852","126898.91"
"2015-11-05 17:26:46","28","19747","127945.10"
"2015-11-05 17:18:54","28","18924","124014.87"
"2015-11-05 16:18:16","67","40904","281018.36"
"2015-11-05 04:19:33","43","27077","179761.43"
"2015-11-05 04:00:19","37","21024","117862.77"
"2015-11-05 03:08:26","28","18924","124014.87"
"2015-11-05 01:21:50","31","17836","118867.17"
"2015-11-04 23:24:39","49","21791","122957.11"
"2015-11-04 15:43:52","24","10477","55883.55"
"2015-11-04 14:31:56","29","11430","60936.18"
"2015-11-04 13:51:07","56","24182","135822.85"
"2015-11-04 12:31:20","29","11430","60936.18"
"2015-11-04 11:01:48","27","11746","64536.17"
"2015-11-04 08:19:59","58","34963","235051.07"
"2015-11-04 07:00:08","29","11430","60936.18"
"2015-11-03 23:58:35","38","21165","143471.26"
"2015-11-03 23:41:57","40","24120","127671.94"
"2015-11-03 23:20:22","28","12723","67459.65"
"2015-11-03 21:45:20","24","8110","43692.29"
"2015-11-03 13:38:17","25","14929","96779.18"
"2015-11-03 10:19:08","35","16574","94244.44"
"2015-11-03 05:01:09","25","14929","96779.18"
"2015-11-02 23:48:21","57","24087","130964.11"
"2015-11-02 23:23:50","60","28629","163579.18"
"2015-11-02 14:43:41","65","36887","251299.77"
"2015-11-02 03:16:24","59","28107","153705.10"
"2015-11-02 02:52:05","27","11313","62148.87"
"2015-11-01 21:04:20","23","9285","49930.29"
"2015-11-01 18:03:43","24","4795","28012.07"
"2015-11-01 12:03:39","24","16024","105115.44"
"2015-11-01 06:33:00","42","24507","167717.40"
"2015-11-01 03:33:53","56","44750","231856.98"
"2015-10-31 15:48:47","66","43730","300694.79"
"2015-10-31 15:42:27","43","8276","51647.76"
"2015-10-31 10:48:53","30","21716","144865.83"
"2015-10-31 09:41:25","56","44750","231856.98"
"2015-10-31 08:42:52","55","24656","130153.59"
"2015-10-31 03:20:27","22","11656","79246.93"
"2015-10-31 00:30:02","27","11746","64536.17"
"2015-10-30 22:55:42","51","23299","125968.04"
"2015-10-30 22:52:10","57","33190","205886.97"
"2015-10-30 20:10:38","35","15177","83419.38"
"2015-10-30 17:41:48","67","40904","281018.36"
"2015-10-30 17:20:49","51","34627","237781.30"
"2015-10-30 16:20:01","66","49246","345618.59"
"2015-10-30 11:13:52","20","9333","49975.93"
"2015-10-30 09:42:43","24","10477","55883.55"
"2015-10-30 02:30:46","35","19596","131173.41"
"2015-10-30 02:15:35","61","24119","132868.82"
"2015-10-29 23:55:11","53","24215","135517.95"
"2015-10-29 08:39:55","58","27235","147599.56"
"2015-10-29 03:42:33","49","29101","200174.66"
"2015-10-28 23:53:44","35","16574","94244.44"
"2015-10-28 19:53:50","35","19596","131173.41"
"2015-10-28 19:06:09","3","1646","10667.46"
"2015-10-28 17:04:48","24","8110","43692.29"
"2015-10-28 14:53:28","37","22902","154811.43"
"2015-10-28 12:30:22","27","6258","38648.01"
"2015-10-28 11:49:13","3","1646","10667.46"
"2015-10-28 11:30:34","31","17836","118867.17"
"2015-10-28 09:07:38","24","8110","43692.29"
"2015-10-28 08:27:52","13","6126","32226.37"
"2015-10-28 06:06:44","42","7799","47417.76"
"2015-10-28 01:04:44","3","1646","10667.46"
"2015-10-27 23:24:48","11","2444","15727.19"
"2015-10-27 02:25:20","13","4734","25526.30"
"2015-10-27 01:27:03","13","4734","25526.30"
"2015-10-26 23:18:04","63","21706","118879.76"
"2015-10-26 22:48:37","28","12723","67459.65"
"2015-10-26 13:10:07","57","22177","119965.08"
"2015-10-26 09:53:07","56","24182","135822.85"
"2015-10-26 04:30:23","16","3033","18285.93"
"2015-10-26 03:14:39","10","3810","20767.15"
"2015-10-25 21:49:37","66","39863","272672.84"
"2015-10-25 15:05:21","58","24155","135924.15"
"2015-10-25 10:36:40","27","14896","101553.15"
"2015-10-25 08:49:41","36","17917","107142.63"
"2015-10-25 08:08:49","53","24215","135517.95"
"2015-10-25 07:08:13","23","4400","27558.30"
"2015-10-25 04:44:44","42","7799","47417.76"
"2015-10-25 04:16:24","27","14896","101553.15"
"2015-10-24 23:25:58","30","21716","144865.83"
"2015-10-24 15:26:00","27","17563","115376.17"
"2015-10-24 15:00:57","60","23956","130893.51"
"2015-10-24 11:35:12","33","13464","72788.52"
"2015-10-24 01:29:07","62","56410","382873.30"
"2015-10-24 00:51:03","40","19002","108579.84"
"2015-10-23 23:08:52","24","16024","105115.44"
"2015-10-23 19:48:02","58","24116","163887.39"
"2015-10-23 18:40:15","68","40535","278575.64"
"2015-10-23 17:21:27","50","25343","140046.68"
"2015-10-23 09:55:32","35","15177","83419.38"
"2015-10-23 09:31:52","51","23299","125968.04"
"2015-10-23 01:32:48","35","15177","83419.38"
"2015-10-22 19:11:24","61","35358","238962.47"
"2015-10-22 17:28:41","23","9285","49930.29"
"2015-10-22 14:04:20","28","18924","124014.87"
"2015-10-22 05:02:47","28","18924","124014.87"
"2015-10-22 03:16:02","65","39187","269155.34"
"2015-10-22 01:07:24","56","22852","126898.91"
"2015-10-21 23:41:28","24","10197","54891.56"
"2015-10-21 19:42:58","66","49246","345618.59"
"2015-10-21 18:45:34","29","17538","119173.59"
"2015-10-21 18:40:47","61","24119","132868.82"
"2015-10-21 17:10:17","42","24507","167717.40"
"2015-10-21 16:16:43","19","3953","25335.68"
"2015-10-21 05:17:46","29","25768","156582.24"
"2015-10-21 04:08:43","71","42358","291047.25"
"2015-10-21 01:16:06","12","4899","25507.06"
"2015-10-20 23:17:30","31","13364","72875.84"
"2015-10-20 19:26:17","40","15469","84768.94"
"2015-10-20 15:53:42","41","26597","185463.76"
"2015-10-20 14:10:09","57","27248","153015.87"
"2015-10-20 09:23:17","51","34627","237781.30"
"2015-10-20 03:47:12","6","748","3927.05"
"2015-10-19 22:38:28","56","44750","231856.98"
"2015-10-19 06:25:38","37","21024","117862.77"
"2015-10-19 00:33:13","63","21706","118879.76"
"2015-10-18 22:25:26","65","36887","251299.77"
"2015-10-18 14:07:11","25","13148","88946.14"
"2015-10-18 12:42:49","71","42358","291047.25"
"2015-10-18 04:36:01","25","13148","88946.14"
"2015-10-18 00:30:14","58","28452","160051.04"
"2015-10-17 16:44:01","13","4734","25526.30"
"2015-10-17 15:27:40","68","40412","275288.30"
"2015-10-17 13:18:19","16","3033","18285.93"
"2015-10-17 12:54:52","13","4734","25526.30"
"2015-10-17 07:32:54","46","17788","96376.94"
"2015-10-17 06:28:09","60","23956","130893.51"
"2015-10-17 02:56:45","13","6126","32226.37"
"2015-10-16 21:01:11","60","47506","326819.48"
"2015-10-16 19:12:08","58","34963","235051.07"
"2015-10-16 18:43:51","61","23973","130917.00"
"2015-10-16 12:57:10","50","25343","140046.68"
"2015-10-16 12:44:07","43","8276","51647.76"
"2015-10-16 09:40:09","57","33190","205886.97"
"2015-10-16 07:52:32","58","24948","138323.59"
"2015-10-16 06:58:55","30","21716","144865.83"
"2015-10-16 03:53:28","56","22852","126898.91"
"2015-10-16 03:51:17","37","20761","135730.44"
"2015-10-15 20:41:27","62","24538","137227.88"
"2015-10-15 19:35:28","65","36603","244695.99"
"2015-10-15 18:40:30","32","14894","86362.70"
"2015-10-15 16:28:05","58","27235","147599.56"
"2015-10-15 15:54:53","55","24656","130153.59"
"2015-10-15 12:39:49","30","21964","139015.09"
"2015-10-15 11:27:28","50","40833","293861.14"
"2015-10-15 09:46:13","56","24182","135822.85"
"2015-10-14 21:33:36","60","23956","130893.51"
"2015-10-14 17:47:36","57","22177","119965.08"
"2015-10-14 17:45:02","23","9285","49930.29"
"2015-10-14 15:27:18","30","18186","120523.91"
"2015-10-14 12:32:38","31","20795","134039.25"
"2015-10-14 11:56:56","57","27248","153015.87"
"2015-10-14 00:32:16","62","34581","234225.65"
"2015-10-13 18:59:06","66","49246","345618.59"
"2015-10-13 18:54:16","40","24120","127671.94"
"2015-10-13 16:24:25","27","17563","115376.17"
"2015-10-13 16:24:10","27","11746","64536.17"
"2015-10-13 15:24:17","57","33190","205886.97"
"2015-10-13 14:11:13","39","23186","157523.24"
"2015-10-13 13:26:31","35","16574","94244.44"
"2015-10-13 07:35:00","61","35358","238962.47"
"2015-10-13 00:42:27","27","11313","62148.87"
"2015-10-12 19:37:28","29","11430","60936.18"
"2015-10-12 15:31:26","30","18186","120523.91"
"2015-10-12 09:09:50","10","3810","20767.15"
"2015-10-12 04:10:51","60","39570","253635.75"
"2015-10-12 02:10:54","10","3810","20767.15"
"2015-10-11 20:28:33","51","21887","116165.15"
"2015-10-11 19:00:29","31","13364","72875.84"
"2015-10-11 13:06:10","43","16849","94684.25"
"2015-10-11 04:54:03","55","31887","217473.85"
"2015-10-11 03:27:23","65","24655","137600.67"
"2015-10-11 00:52:24","46","22752","161294.62"
"2015-10-10 22:24:14","40","15469","84768.94"
"2015-10-10 19:53:38","62","24538","137227.88"
"2015-10-10 19:42:46","29","11430","60936.18"
"2015-10-10 13:09:35","61","23973","130917.00"
"2015-10-10 08:36:39","57","27248","153015.87"
"2015-10-10 06:20:47","3","1493","9914.23"
"2015-10-10 00:49:20","29","17538","119173.59"
"2015-10-09 21:46:02","23","4400","27558.30"
"2015-10-09 21:36:21","46","17788","96376.94"
"2015-10-09 17:32:04","46","22752","161294.62"
"2015-10-09 12:45:59","25","12011","80328.56"
"2015-10-09 08:19:31","29","12331","67909.96"
"2015-10-09 04:47:54","53","24215","135517.95"
"2015-10-08 23:56:27","25","14397","96593.53"
"2015-10-08 22:29:45","20","9333","49975.93"
"2015-10-08 19:34:24","50","40833","293861.14"
"2015-10-08 18:42:15","58","24155","135924.15"
"2015-10-08 17:55:11","55","31887","217473.85"
"2015-10-08 16:53:37","57","22552","123503.18"
"2015-10-08 16:23:05","37","22902","154811.43"
"2015-10-08 12:36:11","30","21964","139015.09"
"2015-10-08 11:19:49","25","12011","80328.56"
"2015-10-08 10:22:33","25","14397","96593.53"
"2015-10-08 07:09:40","30","21964","139015.09"
"2015-10-08 00:26:17","40","23129","157782.52"
"2015-10-07 13:43:11","67","40904","281018.36"
"2015-10-07 08:42:21","61","35750","241711.25"
"2015-10-07 07:07:19","43","27077","179761.43"
"2015-10-07 06:12:38","37","22902","154811.43"
"2015-10-07 04:00:25","43","28601","188457.46"
"2015-10-06 23:23:03","31","13364","72875.84"
"2015-10-06 19:43:09","63","21706","118879.76"
"2015-10-06 17:13:58","28","18924","124014.87"
"2015-10-06 09:58:50","28","19747","127945.10"
"2015-10-06 08:34:53","58","34963","235051.07"
"2015-10-06 07:32:35","24","10477","55883.55"
"2015-10-06 05:25:38","37","21024","117862.77"
"2015-10-06 04:22:11","28","18924","124014.87"
"2015-10-06 01:25:21","49","21791","122957.11"
"2015-10-05 12:04:53","27","11746","64536.17"
"2015-10-05 11:51:44","38","21165","143471.26"
"2015-10-05 10:21:25","65","24655","137600.67"
"2015-10-05 06:36:00","49","29101","200174.66"
"2015-10-05 02:45:51","40","24120","127671.94"
"2015-10-04 21:56:36","59","28107","153705.10"
"2015-10-04 21:19:02","24","8110","43692.29"
"2015-10-04 17:39:36","35","16574","94244.44"
"2015-10-04 14:52:07","36","17917","107142.63"
"2015-10-04 08:24:58","28","12723","67459.65"
"2015-10-04 04:01:29","60","28629","163579.18"
"2015-10-04 01:25:23","24","8110","43692.29"
"2015-10-03 22:36:42","57","24087","130964.11"
"2015-10-03 15:53:30","51","23299","125968.04"
"2015-10-03 15:06:33","65","36887","251299.77"
"2015-10-03 10:46:47","30","21716","144865.83"
"2015-10-03 09:57:03","27","6288","42065.82"
"2015-10-03 09:47:51","42","7799","47417.76"
"2015-10-03 07:00:32","56","44750","231856.98"
"2015-10-03 06:05:37","58","24155","135924.15"
"2015-10-03 04:49:50","27","11313","62148.87"
"2015-10-02 20:04:03","30","21716","144865.83"
"2015-10-02 18:26:59","61","24119","132868.82"
"2015-10-02 15:59:59","24","16024","105115.44"
"2015-10-02 15:24:42","29","16806","112176.03"
"2015-10-02 14:23:55","66","43730","300694.79"
"2015-10-02 08:17:32","24","16024","105115.44"
"2015-10-02 08:00:00","24","4795","28012.07"
"2015-10-02 05:33:28","24","16024","105115.44"
"2015-10-01 22:38:33","55","24656","130153.59"
"2015-10-01 20:13:05","24","10477","55883.55"
"2015-10-01 15:25:43","43","8276","51647.76"
"2015-10-01 07:14:15","35","19596","131173.41"
"2015-10-01 05:21:30","66","49246","345618.59"
"2015-10-01 01:44:59","56","22852","126898.91"
"2015-10-01 00:58:17","35","15177","83419.38"
"2015-09-30 16:44:50","56","44750","231856.98"
"2015-09-30 15:51:01","56","44750","231856.98"
"2015-09-30 13:59:55","58","24116","163887.39"
"2015-09-30 11:14:58","51","34627","237781.30"
"2015-09-30 07:25:32","28","12723","67459.65"
"2015-09-30 03:45:37","12","4899","25507.06"
"2015-09-30 03:40:33","31","17836","118867.17"
"2015-09-29 11:37:17","49","29101","200174.66"
"2015-09-29 10:11:14","31","17836","118867.17"
"2015-09-28 20:03:03","46","17788","96376.94"
"2015-09-28 15:34:56","24","10197","54891.56"
"2015-09-28 13:44:38","57","22177","119965.08"
"2015-09-28 11:58:58","13","6126","32226.37"
"2015-09-28 04:04:38","27","6258","38648.01"
"2015-09-28 01:35:05","12","4899","25507.06"
"2015-09-28 01:22:44","40","15469","84768.94"
"2015-09-27 15:02:25","57","24087","130964.11"
"2015-09-26 22:29:31","62","24538","137227.88"
"2015-09-26 20:17:54","56","24182","135822.85"
"2015-09-26 19:58:14","27","11746","64536.17"
"2015-09-26 19:04:12","57","27248","153015.87"
"2015-09-26 18:19:37","13","6126","32226.37"
"2015-09-26 15:38:17","42","24507","167717.40"
"2015-09-26 15:25:57","23","4400","27558.30"
"2015-09-26 13:48:37","30","21716","144865.83"
"2015-09-26 06:16:23","57","33190","205886.97"
"2015-09-26 01:03:05","37","21024","117862.77"
"2015-09-25 13:54:35","55","24656","130153.59"
"2015-09-25 13:51:50","27","17563","115376.17"
"2015-09-25 13:30:27","53","24215","135517.95"
"2015-09-25 09:47:22","50","25343","140046.68"
"2015-09-25 09:25:21","66","39863","272672.84"
"2015-09-25 01:25:42","42","7799","47417.76"
"2015-09-24 22:29:15","56","24182","135822.85"
"2015-09-24 22:17:05","51","23299","125968.04"
"2015-09-24 20:47:31","58","24116","163887.39"
"2015-09-24 16:55:35","33","13464","72788.52"
"2015-09-24 16:00:23","40","19002","108579.84"
"2015-09-24 14:24:45","62","56410","382873.30"
"2015-09-24 07:53:58","43","28601","188457.46"
"2015-09-24 06:30:56","68","40535","278575.64"
"2015-09-24 05:08:09","43","16849","94684.25"
"2015-09-24 00:00:55","23","9285","49930.29"
"2015-09-23 16:14:05","23","9285","49930.29"
"2015-09-23 14:44:01","53","24215","135517.95"
"2015-09-23 10:01:33","65","24655","137600.67"
"2015-09-23 09:11:33","58","27235","147599.56"
"2015-09-23 08:40:25","29","11430","60936.18"
"2015-09-23 08:21:57","23","9285","49930.29"
"2015-09-23 05:15:34","56","22852","126898.91"
"2015-09-23 01:56:46","61","23973","130917.00"
"2015-09-23 01:34:52","29","11430","60936.18"
"2015-09-23 01:14:36","15","5691","32965.13"
"2015-09-22 22:58:00","57","24087","130964.11"
"2015-09-22 20:06:28","65","39187","269155.34"
"2015-09-22 16:45:24","35","15177","83419.38"
"2015-09-22 14:04:05","29","25768","156582.24"
"2015-09-22 12:33:19","61","24119","132868.82"
"2015-09-22 09:13:10","35","16574","94244.44"
"2015-09-22 06:50:07","40","24120","127671.94"
"2015-09-21 16:40:28","29","17538","119173.59"
"2015-09-21 16:20:59","61","35358","238962.47"
"2015-09-21 12:10:23","51","34627","237781.30"
"2015-09-21 06:09:27","41","26597","185463.76"
"2015-09-21 05:52:10","71","42358","291047.25"
"2015-09-21 05:09:36","19","3953","25335.68"
"2015-09-21 00:08:49","42","24507","167717.40"
"2015-09-20 23:47:57","57","24087","130964.11"
"2015-09-20 20:38:15","67","40904","281018.36"
"2015-09-20 12:06:32","63","21706","118879.76"
"2015-09-20 07:05:55","20","9333","49975.93"
"2015-09-19 17:27:26","11","2444","15727.19"
"2015-09-19 16:45:29","29","17538","119173.59"
"2015-09-19 10:29:22","63","21706","118879.76"
"2015-09-19 09:41:51","66","43730","300694.79"
"2015-09-18 22:20:06","27","6258","38648.01"
"2015-09-18 19:34:33","68","40412","275288.30"
"2015-09-18 14:30:04","16","3033","18285.93"
"2015-09-18 13:50:43","41","26597","185463.76"
"2015-09-18 10:51:38","16","3033","18285.93"
"2015-09-18 07:38:41","58","28452","160051.04"
"2015-09-18 06:34:02","31","13364","72875.84"
"2015-09-17 20:45:09","30","21716","144865.83"
"2015-09-17 18:09:08","27","11313","62148.87"
"2015-09-17 13:36:20","60","47506","326819.48"
"2015-09-17 08:16:20","50","25343","140046.68"
"2015-09-17 05:43:40","60","23956","130893.51"
"2015-09-16 15:56:48","37","20761","135730.44"
"2015-09-16 15:32:04","30","21964","139015.09"
"2015-09-16 15:24:51","58","24948","138323.59"
"2015-09-16 11:57:10","61","23973","130917.00"
"2015-09-16 03:03:14","30","21964","139015.09"
"2015-09-15 22:30:07","57","22177","119965.08"
"2015-09-15 17:54:29","62","34581","234225.65"
"2015-09-15 17:07:45","65","36603","244695.99"
"2015-09-15 09:50:50","58","27235","147599.56"
"2015-09-15 04:56:05","32","14894","86362.70"
"2015-09-15 03:30:22","50","40833","293861.14"
"2015-09-15 01:12:23","31","20795","134039.25"
"2015-09-14 09:22:48","30","18186","120523.91"
"2015-09-14 07:54:28","58","27235","147599.56"
"2015-09-14 05:06:04","35","16574","94244.44"
"2015-09-14 01:36:13","57","33190","205886.97"
"2015-09-14 01:26:50","39","23186","157523.24"
"2015-09-13 22:10:07","61","35358","238962.47"
"2015-09-13 21:52:48","49","21791","122957.11"
"2015-09-13 21:39:13","46","17788","96376.94"
"2015-09-13 11:38:13","39","23186","157523.24"
"2015-09-13 10:58:05","30","18186","120523.91"
"2015-09-13 08:56:44","58","34963","235051.07"
"2015-09-12 22:38:48","43","16849","94684.25"
"2015-09-12 22:01:21","55","31887","217473.85"
"2015-09-12 18:56:18","35","19596","131173.41"
"2015-09-12 18:22:22","31","13364","72875.84"
"2015-09-12 17:31:15","43","16849","94684.25"
"2015-09-12 10:52:57","65","36887","251299.77"
"2015-09-12 05:20:49","60","39570","253635.75"
"2015-09-11 21:55:11","58","24155","135924.15"
"2015-09-11 21:46:34","11","2444","15727.19"
"2015-09-11 19:46:41","40","15469","84768.94"
"2015-09-11 18:55:53","60","23956","130893.51"
"2015-09-11 17:09:25","53","24215","135517.95"
"2015-09-11 14:42:38","62","24538","137227.88"
"2015-09-11 14:41:50","51","21887","116165.15"
"2015-09-11 11:35:23","29","11430","60936.18"
"2015-09-11 10:18:46","60","23956","130893.51"
"2015-09-11 09:12:02","65","24655","137600.67"
"2015-09-11 02:59:53","37","21024","117862.77"
"2015-09-11 02:32:08","40","15469","84768.94"
"2015-09-10 20:50:39","63","21706","118879.76"
"2015-09-10 19:48:22","24","10197","54891.56"
"2015-09-10 12:19:56","57","27248","153015.87"
"2015-09-10 12:14:34","61","24119","132868.82"
"2015-09-10 07:47:46","29","12331","67909.96"
"2015-09-10 05:17:36","46","17788","96376.94"
"2015-09-10 00:48:37","66","49246","345618.59"
"2015-09-09 18:34:18","6","748","3927.05"
"2015-09-09 13:59:52","46","22752","161294.62"
"2015-09-09 13:03:59","55","24656","130153.59"
"2015-09-09 12:44:36","3","1493","9914.23"
"2015-09-09 04:26:14","57","22552","123503.18"
"2015-09-09 01:57:56","65","24655","137600.67"
"2015-09-09 00:16:09","19","3953","25335.68"
"2015-09-08 21:10:50","67","40904","281018.36"
"2015-09-08 16:57:22","43","27077","179761.43"
"2015-09-08 16:31:47","55","31887","217473.85"
"2015-09-08 16:04:13","58","24155","135924.15"
"2015-09-08 14:10:54","40","23129","157782.52"
"2015-09-08 10:21:21","25","12011","80328.56"
"2015-09-08 05:48:43","50","40833","293861.14"
"2015-09-08 02:42:28","25","12011","80328.56"
"2015-09-07 20:26:37","43","28601","188457.46"
"2015-09-07 19:58:39","28","12723","67459.65"
"2015-09-07 19:17:12","28","12723","67459.65"
"2015-09-07 17:42:24","61","35750","241711.25"
"2015-09-07 15:09:39","37","22902","154811.43"
"2015-09-07 13:51:37","37","22902","154811.43"
"2015-09-07 09:27:43","57","27248","153015.87"
"2015-09-07 09:09:01","35","15177","83419.38"
"2015-09-07 04:35:20","28","12723","67459.65"
"2015-09-06 19:27:51","37","21024","117862.77"
"2015-09-06 17:49:26","58","34963","235051.07"
"2015-09-06 07:50:12","56","22852","126898.91"
"2015-09-06 06:27:15","57","22177","119965.08"
"2015-09-06 05:07:25","56","44750","231856.98"
"2015-09-06 03:20:21","49","21791","122957.11"
"2015-09-06 01:58:31","27","11746","64536.17"
"2015-09-06 00:07:20","28","19747","127945.10"
"2015-09-05 22:09:53","43","8276","51647.76"
"2015-09-05 19:38:02","35","16574","94244.44"
"2015-09-05 15:30:57","57","33190","205886.97"
